,path,folder,pass,date,detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE
21,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM4_0_20120619_215650_890.00#,20120619,SM4_20120619,1,0.47999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM5_0_20120619_231135_041.00#,20120619,SM5_20120619,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM6_0_20120619_231135_041.00#,20120619,SM6_20120619,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120623_205528_585.00#,20120623,SM1_20120623,1,0.41999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM2_0_20120623_211457_151.00#,20120623,SM2_20120623,31,0.25419354799999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120623_215617_789.00#,20120623,SM3_20120623,7,0.28857142899999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM4_0_20120623_215650_890.00#,20120623,SM4_20120623,1,0.47999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM5_0_20120623_231135_041.00#,20120623,SM5_20120623,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM6_0_20120623_231135_041.00#,20120623,SM6_20120623,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120626_205528_585.00#,20120626,SM1_20120626,1,0.41999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM2_0_20120626_211457_151.00#,20120626,SM2_20120626,31,0.25419354799999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120626_215617_789.00#,20120626,SM3_20120626,7,0.28857142899999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM4_0_20120626_215650_890.00#,20120626,SM4_20120626,1,0.47999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM5_0_20120626_231135_041.00#,20120626,SM5_20120626,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM6_0_20120626_231135_041.00#,20120626,SM6_20120626,3,0.28999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
