,path,folder,pass,date,detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE
10,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_210714_920.00#,20120610,SM1_20120610,4,0.38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_212209_290.00#,20120610,SM1_20120610,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_001045_338.00#,20120610,SM1_20120610,7,0.328571429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_205733_324.00#,20120611,SM1_20120611,13,0.298461538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210239_542.00#,20120611,SM1_20120611,2,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210543_618.00#,20120611,SM1_20120611,7,0.371428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210631_140.00#,20120611,SM1_20120611,10,0.348,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210652_640.00#,20120611,SM1_20120611,3,0.456666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210702_026.00#,20120611,SM1_20120611,12,0.293333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210729_986.00#,20120611,SM1_20120611,7,0.365714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_211004_864.00#,20120611,SM1_20120611,10,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_211134_199.00#,20120611,SM1_20120611,1,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_211939_728.00#,20120611,SM1_20120611,17,0.24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_214245_142.00#,20120611,SM1_20120611,4,0.2875,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120612_205204_716.00#,20120612,SM1_20120612,1,0.62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120612_205929_502.00#,20120612,SM1_20120612,8,0.2575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120613_011231_536.00#,20120612,SM1_20120612,3,0.273333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM2_0_20120609_215545_696.00#,20120609,SM2_20120609,6,0.298333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_205707_124.00#,20120609,SM3_20120609,13,0.292307692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_214234_424.00#,20120609,SM3_20120609,1,0.26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_215325_156.00#,20120609,SM3_20120609,2,0.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_221137_900.00#,20120609,SM3_20120609,13,0.221538462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_221909_941.00#,20120609,SM3_20120609,2,0.385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_223339_426.00#,20120609,SM3_20120609,27,0.22037037,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_224245_326.00#,20120609,SM3_20120609,17,0.273529412,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_232000_102.00#,20120609,SM3_20120609,5,0.234,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_234238_882.00#,20120609,SM3_20120609,29,0.252068966,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_234659_893.00#,20120609,SM3_20120609,1,0.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120609_234736_824.00#,20120609,SM3_20120609,16,0.27875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_001807_538.00#,20120609,SM3_20120609,1,0.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_002042_866.00#,20120609,SM3_20120609,3,0.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_002053_930.00#,20120609,SM3_20120609,2,0.495,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_003655_698.00#,20120609,SM3_20120609,3,0.263333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_004036_134.00#,20120609,SM3_20120609,1,0.49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_004048_600.00#,20120609,SM3_20120609,2,0.185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_004512_846.00#,20120609,SM3_20120609,1,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_005230_498.00#,20120609,SM3_20120609,8,0.345,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_011230_164.00#,20120609,SM3_20120609,8,0.2525,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_011808_170.00#,20120609,SM3_20120609,1,0.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_012907_150.00#,20120609,SM3_20120609,1,0.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_013637_154.00#,20120609,SM3_20120609,1,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_013806_593.00#,20120609,SM3_20120609,34,0.267352941,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_013905_976.00#,20120609,SM3_20120609,24,0.2175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_014329_942.00#,20120609,SM3_20120609,8,0.25625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_014549_124.00#,20120609,SM3_20120609,11,0.279090909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_014842_910.00#,20120609,SM3_20120609,2,0.265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_014900_661.00#,20120609,SM3_20120609,4,0.3275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_015758_998.00#,20120609,SM3_20120609,1,0.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_020114_624.00#,20120609,SM3_20120609,1,0.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_020124_505.00#,20120609,SM3_20120609,5,0.254,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_020134_069.00#,20120609,SM3_20120609,7,0.268571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_020142_642.00#,20120609,SM3_20120609,1,0.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_020828_686.00#,20120609,SM3_20120609,6,0.316666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_021448_048.00#,20120609,SM3_20120609,1,0.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_021554_216.00#,20120609,SM3_20120609,22,0.242272727,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_022727_753.00#,20120609,SM3_20120609,1,0.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_022739_031.00#,20120609,SM3_20120609,2,0.455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_022822_166.00#,20120609,SM3_20120609,5,0.318,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_022847_886.00#,20120609,SM3_20120609,1,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_024114_295.00#,20120609,SM3_20120609,5,0.224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_024606_898.00#,20120609,SM3_20120609,47,0.315744681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_025551_180.00#,20120609,SM3_20120609,4,0.3475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_025600_000.00#,20120609,SM3_20120609,3,0.36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_025919_738.00#,20120609,SM3_20120609,1,0.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030204_152.00#,20120609,SM3_20120609,5,0.332,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030228_669.00#,20120609,SM3_20120609,1,0.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030245_500.00#,20120609,SM3_20120609,1,0.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030301_000.00#,20120609,SM3_20120609,13,0.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030316_100.00#,20120609,SM3_20120609,1,0.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030328_957.00#,20120609,SM3_20120609,1,0.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030338_317.00#,20120609,SM3_20120609,1,0.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030443_610.00#,20120609,SM3_20120609,12,0.258333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030601_752.00#,20120609,SM3_20120609,15,0.254666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030613_300.00#,20120609,SM3_20120609,5,0.272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_030657_838.00#,20120609,SM3_20120609,5,0.228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_031011_214.00#,20120609,SM3_20120609,3,0.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_031018_200.00#,20120609,SM3_20120609,3,0.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_031556_202.00#,20120609,SM3_20120609,10,0.269,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_031848_114.00#,20120609,SM3_20120609,2,0.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_031857_164.00#,20120609,SM3_20120609,1,0.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_032002_005.00#,20120609,SM3_20120609,2,0.265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_032316_808.00#,20120609,SM3_20120609,2,0.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_032344_596.00#,20120609,SM3_20120609,1,0.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_032507_285.00#,20120609,SM3_20120609,1,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_032935_313.00#,20120609,SM3_20120609,6,0.278333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_033001_362.00#,20120609,SM3_20120609,1,0.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_033245_818.00#,20120609,SM3_20120609,1,0.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_033530_802.00#,20120609,SM3_20120609,11,0.276363636,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_034917_249.00#,20120609,SM3_20120609,5,0.354,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_035123_500.00#,20120609,SM3_20120609,11,0.333636364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_035532_488.00#,20120609,SM3_20120609,25,0.2508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_040519_730.00#,20120609,SM3_20120609,7,0.245714286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
102,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_040720_800.00#,20120609,SM3_20120609,1,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_041412_404.00#,20120609,SM3_20120609,1,0.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_041509_112.00#,20120609,SM3_20120609,1,0.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_041743_587.00#,20120609,SM3_20120609,27,0.270740741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_043406_398.00#,20120609,SM3_20120609,2,0.19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_044910_297.00#,20120609,SM3_20120609,23,0.209130435,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_044935_355.00#,20120609,SM3_20120609,2,0.275,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_044943_600.00#,20120609,SM3_20120609,8,0.20375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_045006_756.00#,20120609,SM3_20120609,20,0.228,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_045551_437.00#,20120609,SM3_20120609,3,0.463333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120610_214448_808.00#,20120610,SM3_20120610,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120611_051113_328.00#,20120610,SM3_20120610,25,0.206,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120611_211739_308.00#,20120611,SM3_20120611,9,0.272222222,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120611_220204_772.00#,20120611,SM3_20120611,1,0.28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120611_221401_113.00#,20120611,SM3_20120611,4,0.26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
117,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120612_031703_248.00#,20120611,SM3_20120611,3,0.18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120612_032618_852.00#,20120611,SM3_20120611,17,0.202941176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120612_032734_030.00#,20120611,SM3_20120611,5,0.238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120612_033120_480.00#,20120611,SM3_20120611,3,0.39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM3_0_20120612_033248_827.00#,20120611,SM3_20120611,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
